,aptID,Predicted_feats
171,451,medium
172,454,low
173,458,low
174,465,low
175,466,low
176,471,low
177,472,low
178,473,low
179,474,low
180,476,low
181,479,low
182,480,low
183,481,low
184,482,low
185,483,low
186,484,medium
187,486,low
188,487,medium
189,490,medium
190,491,low
191,494,low
192,498,low
193,499,low
194,500,low
195,506,low
196,509,low
197,510,low
198,511,medium
199,513,low
200,514,low
201,515,low
202,518,low
203,519,low
204,521,medium
205,529,low
206,530,low
207,534,low
208,535,low
209,536,low
210,537,low
211,538,low
212,542,low
213,548,low
214,554,low
215,555,low
216,557,low
217,558,low
218,561,low
219,563,low
220,564,low
221,567,low
222,568,low
223,569,low
224,571,low
225,572,low
226,573,low
227,576,low
228,577,low
229,582,low
230,585,low
231,587,low
232,589,low
233,590,low
234,592,low
235,597,low
236,598,low
237,599,high
238,600,low
239,604,low
240,605,low
241,607,low
242,610,low
243,614,low
244,615,low
245,620,low
246,621,low
247,622,low
248,623,low
249,624,low
250,626,low
251,629,medium
252,631,low
253,636,low
254,638,low
255,640,low
256,641,low
257,644,low
258,645,low
259,647,low
260,648,low
261,649,low
262,651,low
263,656,low
264,657,low
265,658,low
266,659,medium
267,662,low
268,666,low
269,669,low
270,674,low
271,675,low
272,679,low
273,681,low
274,682,low
275,685,low
276,687,low
277,692,low
278,693,low
279,694,low
280,696,low
281,699,low
282,700,low
283,703,medium
284,704,low
285,705,low
286,706,low
287,707,low
288,712,low
289,714,low
290,715,low
291,716,low
292,718,low
293,720,low
294,725,low
295,728,low
296,730,low
297,735,low
298,737,low
299,740,low
300,741,low
301,742,low
302,743,low
303,747,low
304,749,low
305,754,low
306,757,low
307,761,low
308,762,medium
309,764,low
310,766,low
311,770,low
312,772,low
313,773,low
314,776,medium
315,778,low
316,783,low
317,786,low
318,788,low
319,791,low
320,798,low
321,801,low
322,806,low
323,807,low
324,809,low
325,810,low
326,812,low
327,813,low
328,815,low
329,816,low
330,818,low
331,820,low
332,821,low
333,822,low
334,828,medium
335,833,low
336,836,low
337,839,low
338,840,low
339,841,low
340,843,low
341,845,low
342,846,low
343,847,low
344,849,low
345,850,medium
346,852,low
347,858,low
348,859,low
349,862,low
350,863,low
351,865,medium
352,866,low
353,872,low
354,873,low
355,875,low
356,876,low
357,877,low
358,878,low
359,879,low
360,880,low
361,881,low
362,883,low
363,884,high
364,886,low
365,889,medium
366,892,low
367,893,low
368,897,low
369,898,low
370,899,low
371,901,low
372,903,low
373,910,low
374,914,low
375,917,low
376,918,low
377,921,medium
378,923,low
379,925,high
380,928,low
381,936,low
382,937,low
383,938,low
384,939,low
385,941,low
386,944,low
387,945,low
388,947,low
389,948,low
390,953,low
391,956,low
392,958,low
393,959,medium
394,962,low
395,963,low
396,964,low
397,965,low
398,967,low
399,969,low
400,973,low
401,975,low
402,976,low
403,978,low
404,979,low
405,980,low
406,981,low
407,984,medium
408,985,low
409,987,low
410,988,low
411,993,low
412,997,low
413,998,low
414,1002,low
415,1004,low
416,1007,low
417,1010,low
418,1015,low
419,1016,low
420,1017,low
421,1019,low
422,1020,low
423,1021,low
424,1022,low
425,1023,low
426,1024,low
427,1025,low
428,1026,low
429,1027,low
430,1030,low
431,1031,high
432,1036,low
433,1037,low
434,1038,low
435,1039,low
436,1041,low
437,1044,low
438,1045,low
439,1047,low
440,1048,low
441,1053,low
442,1056,low
443,1058,low
444,1060,low
445,1063,low
446,1064,low
447,1065,low
448,1066,medium
449,1067,low
450,1071,low
451,1075,low
452,1076,low
453,1078,low
454,1083,medium
455,1084,low
456,1087,low
457,1088,low
458,1089,low
459,1090,low
460,1091,low
461,1092,low
462,1093,medium
463,1094,low
464,1096,low
465,1097,low
466,1099,low
467,1105,low
468,1107,low
469,1111,low
470,1114,low
471,1115,low
472,1117,low
473,1118,low
474,1119,low
475,1120,low
476,1133,low
477,1135,low
478,1137,low
479,1142,low
480,1144,low
481,1148,low
482,1152,low
483,1159,low
484,1162,low
485,1165,low
486,1167,low
487,1169,low
488,1170,medium
489,1171,low
490,1176,low
491,1177,medium
492,1179,low
493,1180,low
494,1181,low
495,1182,low
496,1183,low
497,1184,low
498,1185,low
499,1187,low
500,1189,low
501,1190,low
502,1196,low
503,1198,low
504,1200,low
505,1201,low
506,1202,low
507,1204,low
508,1206,low
509,1211,low
510,1212,low
511,1216,low
512,1220,low
513,1221,low
514,1225,low
515,1226,low
516,1228,low
517,1230,low
518,1231,medium
519,1232,low
520,1234,low
521,1236,low
522,1241,low
523,1242,low
524,1245,low
525,1250,low
526,1255,low
527,1263,low
528,1267,low
529,1276,low
530,1279,low
531,1280,low
532,1283,low
533,1286,low
534,1290,low
535,1293,low
536,1294,low
537,1298,low
538,1300,low
539,1304,low
540,1305,low
541,1307,low
542,1308,low
543,1316,low
544,1318,low
545,1321,low
546,1323,low
547,1325,low
548,1327,low
549,1328,low
550,1330,low
551,1332,low
552,1336,low
553,1338,low
554,1339,low
555,1340,low
556,1341,low
557,1343,low
558,1346,low
559,1347,low
560,1348,low
561,1353,low
562,1354,low
563,1356,low
564,1357,low
565,1358,low
566,1360,low
567,1366,low
568,1374,low
569,1378,low
570,1379,low
571,1383,low
572,1385,low
573,1388,low
574,1390,low
575,1392,low
576,1393,low
577,1399,low
578,1401,medium
579,1402,low
580,1405,low
581,1407,low
582,1408,medium
583,1411,low
584,1412,low
585,1414,medium
586,1417,low
587,1418,low
588,1420,low
589,1427,low
590,1430,low
591,1432,low
592,1433,low
593,1435,medium
594,1436,low
595,1445,low
596,1446,low
597,1450,low
598,1453,low
599,1457,low
600,1461,low
601,1471,low
602,1475,low
603,1478,low
604,1481,low
605,1482,low
606,1485,low
607,1486,low
608,1487,medium
609,1493,low
610,1496,low
611,1498,low
612,1499,low
613,1503,low
614,1512,low
615,1514,low
616,1521,low
617,1522,low
618,1523,low
619,1527,low
620,1528,low
621,1531,low
622,1532,low
623,1536,low
624,1538,low
625,1541,low
626,1546,low
627,1550,low
628,1554,low
629,1563,low
630,1567,low
631,1569,low
632,1571,low
633,1574,low
634,1576,low
635,1578,low
636,1580,low
637,1582,low
638,1583,low
639,1585,medium
640,1586,low
641,1588,medium
642,1590,low
643,1591,low
644,1593,low
645,1595,low
646,1596,low
647,1597,medium
648,1603,low
649,1605,low
650,1607,low
651,1608,low
652,1611,low
653,1612,low
654,1620,low
655,1621,low
656,1624,low
657,1629,low
658,1634,low
659,1635,high
660,1636,low
661,1637,low
662,1640,low
663,1644,low
664,1649,low
665,1650,low
666,1652,low
667,1659,low
668,1660,low
669,1661,low
670,1663,low
671,1664,low
672,1668,low
673,1669,low
674,1674,low
675,1677,low
676,1678,low
677,1680,low
678,1681,low
679,1682,low
680,1684,low
681,1685,low
682,1686,medium
683,1687,medium
684,1689,low
685,1690,low
686,1692,low
687,1695,low
688,1698,low
689,1699,low
690,1701,low
691,1706,low
692,1707,low
693,1708,low
694,1710,low
695,1711,low
696,1712,low
697,1713,low
698,1714,low
699,1715,low
700,1717,low
701,1720,high
702,1725,low
703,1727,low
704,1728,low
705,1731,low
706,1734,low
707,1740,medium
708,1742,medium
709,1746,low
710,1748,low
711,1749,low
712,1750,low
713,1752,low
714,1753,low
715,1754,low
716,1755,low
717,1758,high
718,1760,low
719,1761,low
720,1764,medium
721,1768,low
722,1771,low
723,1772,low
724,1774,low
725,1777,low
726,1778,low
727,1782,low
728,1786,low
729,1789,low
730,1790,medium
731,1792,low
732,1795,low
733,1796,low
734,1799,low
735,1803,low
736,1805,medium
737,1806,low
738,1807,low
739,1809,low
740,1810,low
741,1811,low
742,1815,low
743,1816,low
744,1818,low
745,1822,low
746,1828,low
747,1829,low
748,1831,low
749,1836,low
750,1837,low
751,1838,low
752,1842,low
753,1845,low
754,1846,low
755,1851,low
756,1853,low
757,1854,low
758,1858,low
759,1861,medium
760,1862,low
761,1864,low
762,1866,low
763,1868,low
764,1869,medium
765,1870,low
766,1871,low
767,1874,low
768,1875,low
769,1878,low
770,1879,low
771,1880,low
772,1882,low
773,1883,low
774,1886,low
775,1889,low
776,1890,low
777,1892,low
778,1893,medium
779,1896,low
780,1897,low
781,1901,low
782,1904,low
783,1907,low
784,1908,low
785,1910,low
786,1914,medium
787,1915,low
788,1916,low
789,1918,low
790,1920,low
791,1921,low
792,1924,low
793,1925,low
794,1926,medium
795,1928,low
796,1932,low
797,1934,low
798,1938,low
799,1940,low
800,1942,low
801,1943,low
802,1945,low
803,1946,low
804,1949,low
805,1951,low
806,1952,low
807,1954,low
808,1957,low
809,1958,low
810,1963,low
811,1967,low
812,1968,low
813,1972,low
814,1973,low
815,1978,medium
816,1979,low
817,1985,low
818,1989,medium
819,1992,low
820,1993,low
821,2000,low
822,2004,medium
823,2005,low
824,2009,low
825,2012,low
826,2014,low
827,2017,low
828,2019,low
829,2028,high
830,2034,low
831,2043,low
832,2044,low
833,2047,high
834,2048,low
835,2056,low
836,2057,low
837,2058,low
838,2059,medium
839,2060,low
840,2065,low
841,2071,low
842,2073,low
843,2074,medium
844,2075,low
845,2077,low
846,2078,low
847,2079,low
848,2080,low
849,2081,low
850,2083,low
851,2084,low
852,2095,low
853,2101,low
854,2102,medium
855,2112,low
856,2113,medium
857,2118,low
858,2119,low
859,2120,medium
860,2123,low
861,2124,low
862,2132,low
863,2135,low
864,2139,low
865,2144,low
866,2148,low
867,2151,low
868,2156,low
869,2157,low
870,2158,low
871,2160,low
872,2161,low
873,2165,low
874,2167,low
875,2175,low
876,2177,low
877,2180,low
878,2181,low
879,2182,low
880,2184,low
881,2185,low
882,2188,low
883,2190,low
884,2191,low
885,2193,low
886,2194,low
887,2195,low
888,2197,low
889,2200,low
890,2201,low
891,2203,low
892,2204,low
893,2205,low
894,2210,low
895,2212,low
896,2216,medium
897,2217,low
898,2218,low
899,2219,low
900,2220,low
901,2223,low
902,2229,low
903,2231,low
904,2232,low
905,2234,high
906,2239,low
907,2240,low
908,2242,low
909,2243,low
910,2244,low
911,2247,low
912,2248,low
913,2249,low
914,2251,low
915,2252,low
916,2254,low
917,2256,low
918,2259,low
919,2266,low
920,2267,low
921,2269,low
922,2273,low
923,2280,low
924,2281,low
925,2282,medium
926,2285,low
927,2286,medium
928,2291,low
929,2297,low
930,2300,low
931,2306,low
932,2307,low
933,2308,low
934,2312,low
935,2314,low
936,2315,low
937,2317,low
938,2318,low
939,2320,low
940,2321,low
941,2335,low
942,2337,low
943,2338,low
944,2339,low
945,2341,low
946,2342,low
947,2343,low
948,2352,low
949,2354,low
950,2357,medium
951,2362,low
952,2364,low
953,2365,low
954,2366,low
955,2369,low
956,2370,low
957,2371,medium
958,2374,low
959,2377,low
960,2379,medium
961,2380,medium
962,2381,low
963,2382,low
964,2383,low
965,2384,low
966,2386,low
967,2387,low
968,2390,low
969,2391,low
970,2395,low
971,2396,medium
972,2397,low
973,2404,low
974,2407,low
975,2409,low
976,2412,low
977,2414,low
978,2416,low
979,2417,medium
980,2418,low
981,2421,low
982,2423,low
983,2426,low
984,2427,low
985,2428,low
986,2429,low
987,2434,low
988,2435,medium
989,2442,low
990,2443,low
991,2445,low
992,2448,low
993,2449,low
994,2452,low
995,2454,low
996,2455,low
997,2456,low
998,2460,low
999,2463,low
1000,2467,low
1001,2468,low
1002,2469,low
1003,2470,low
1004,2471,medium
1005,2472,low
1006,2474,low
1007,2478,low
1008,2481,low
1009,2483,medium
1010,2484,low
1011,2485,low
1012,2489,low
1013,2490,low
1014,2491,low
1015,2492,low
1016,2493,low
1017,2495,low
1018,2499,low
1019,2501,low
1020,2504,low
1021,2505,low
1022,2506,low
1023,2508,low
1024,2511,low
1025,2512,low
1026,2513,medium
1027,2514,low
1028,2515,low
1029,2516,low
1030,2518,low
1031,2522,medium
1032,2523,medium
1033,2527,low
1034,2528,low
1035,2534,low
1036,2535,low
1037,2536,low
1038,2542,low
1039,2543,low
1040,2544,low
1041,2549,low
1042,2555,low
1043,2556,low
1044,2557,low
1045,2560,low
1046,2561,low
1047,2562,low
1048,2563,low
1049,2570,high
1050,2574,low
1051,2576,low
1052,2577,low
1053,2578,low
1054,2580,low
1055,2583,low
1056,2587,low
1057,2588,low
1058,2591,high
1059,2594,low
1060,2596,low
1061,2601,low
1062,2603,low
1063,2606,low
1064,2607,low
1065,2610,low
1066,2613,low
1067,2614,low
1068,2615,medium
1069,2622,low
1070,2625,low
1071,2627,low
1072,2628,low
1073,2629,low
1074,2632,low
1075,2634,low
1076,2635,medium
1077,2637,low
1078,2654,low
1079,2655,low
1080,2661,low
1081,2662,low
1082,2663,low
1083,2672,low
1084,2673,low
1085,2676,low
1086,2677,low
1087,2678,low
1088,2680,low
1089,2683,low
1090,2684,low
1091,2686,low
1092,2690,low
1093,2692,low
1094,2695,low
1095,2698,low
1096,2700,low
1097,2701,low
1098,2702,low
1099,2707,low
1100,2708,low
1101,2709,low
1102,2710,low
1103,2713,low
1104,2715,low
1105,2716,low
1106,2727,low
1107,2728,low
1108,2729,low
1109,2731,low
1110,2732,low
1111,2733,medium
1112,2740,low
1113,2746,low
1114,2748,low
1115,2750,low
1116,2752,low
1117,2754,low
1118,2757,low
1119,2760,low
1120,2765,high
1121,2766,low
1122,2768,low
1123,2771,low
1124,2772,low
1125,2776,low
1126,2778,low
1127,2779,low
1128,2786,medium
1129,2787,low
1130,2791,low
1131,2792,low
1132,2794,low
1133,2798,low
1134,2801,low
1135,2803,low
1136,2804,low
1137,2805,low
1138,2806,low
1139,2809,low
1140,2812,low
1141,2813,low
1142,2814,low
1143,2815,medium
1144,2816,low
1145,2817,medium
1146,2819,low
1147,2820,low
1148,2822,low
1149,2823,low
1150,2830,low
1151,2833,low
1152,2835,low
1153,2837,low
1154,2838,low
1155,2842,low
1156,2845,low
1157,2847,low
1158,2850,low
1159,2852,medium
1160,2858,low
1161,2860,low
1162,2861,medium
1163,2867,low
1164,2870,low
1165,2871,low
1166,2883,low
1167,2884,low
1168,2886,low
1169,2888,low
1170,2890,low
1171,2892,low
1172,2893,low
1173,2894,medium
1174,2896,medium
1175,2897,low
1176,2903,low
1177,2905,low
1178,2908,low
1179,2915,low
1180,2921,medium
1181,2925,low
1182,2928,low
1183,2929,low
1184,2930,medium
1185,2932,low
1186,2934,low
1187,2937,low
1188,2939,low
1189,2945,low
1190,2952,low
1191,2953,low
1192,2957,low
1193,2958,low
1194,2963,low
1195,2966,low
1196,2967,low
1197,2969,low
1198,2970,low
1199,2971,low
1200,2976,low
1201,2980,low
1202,2981,low
1203,2986,low
1204,2988,low
1205,2989,low
1206,2990,low
1207,3000,low
1208,3003,low
1209,3008,medium
1210,3009,low
1211,3010,low
1212,3012,low
1213,3013,low
1214,3014,low
1215,3019,low
1216,3021,low
1217,3025,low
1218,3029,low
1219,3032,low
1220,3034,low
1221,3037,low
1222,3056,low
1223,3057,low
1224,3058,low
1225,3059,low
1226,3064,low
1227,3066,low
1228,3070,low
1229,3071,low
1230,3072,low
1231,3075,low
1232,3078,low
1233,3089,low
1234,3091,low
1235,3092,low
1236,3094,low
1237,3095,low
1238,3096,low
1239,3097,low
1240,3099,low
1241,3100,low
1242,3103,low
1243,3109,low
1244,3110,low
1245,3111,low
1246,3124,low
1247,3127,low
1248,3128,low
1249,3130,low
1250,3137,low
1251,3138,low
1252,3141,low
1253,3143,low
1254,3144,low
1255,3148,low
1256,3151,low
1257,3157,low
1258,3158,low
1259,3159,medium
1260,3160,low
1261,3161,low
1262,3162,low
1263,3163,low
1264,3164,low
1265,3166,low
1266,3167,low
1267,3172,low
1268,3174,low
1269,3177,low
1270,3179,low
1271,3181,low
1272,3183,low
1273,3188,low
1274,3190,low
1275,3192,low
1276,3193,low
1277,3194,low
1278,3197,low
1279,3201,low
1280,3205,low
1281,3207,medium
1282,3208,low
1283,3211,low
1284,3212,low
1285,3213,low
1286,3214,low
1287,3218,low
1288,3222,low
1289,3223,low
1290,3227,low
1291,3230,low
1292,3234,low
1293,3236,low
1294,3242,low
1295,3251,low
1296,3252,low
1297,3253,low
1298,3254,low
1299,3255,low
1300,3257,low
1301,3260,low
1302,3262,low
1303,3263,low
1304,3264,low
1305,3265,low
1306,3269,low
1307,3270,medium
1308,3272,low
1309,3273,low
1310,3275,low
1311,3277,low
1312,3278,low
1313,3279,low
1314,3282,low
1315,3283,low
1316,3285,medium
1317,3289,low
1318,3290,low
1319,3292,low
1320,3294,low
1321,3295,medium
1322,3296,low
1323,3302,low
1324,3304,medium
1325,3305,low
1326,3310,low
1327,3320,low
1328,3326,low
1329,3327,low
1330,3328,low
1331,3332,low
1332,3338,medium
1333,3342,low
1334,3347,low
1335,3351,low
1336,3353,medium
1337,3356,low
1338,3358,low
1339,3360,low
1340,3363,low
1341,3364,low
1342,3369,medium
1343,3380,low
1344,3384,low
1345,3391,low
1346,3393,low
1347,3394,low
1348,3395,low
1349,3399,low
1350,3400,low
1351,3401,low
1352,3402,low
1353,3403,low
1354,3408,medium
1355,3411,low
1356,3414,low
1357,3415,low
1358,3416,low
1359,3418,low
1360,3423,low
1361,3427,low
1362,3428,low
1363,3429,low
1364,3430,low
1365,3431,low
1366,3432,low
1367,3433,low
1368,3436,low
1369,3438,low
1370,3441,low
1371,3442,low
1372,3445,medium
1373,3449,low
1374,3450,low
1375,3451,low
1376,3452,medium
1377,3453,low
1378,3454,low
1379,3457,low
1380,3458,low
1381,3460,low
1382,3461,low
1383,3462,low
1384,3464,low
1385,3467,low
1386,3468,medium
1387,3469,low
1388,3471,low
1389,3472,low
1390,3473,low
1391,3476,low
1392,3479,low
1393,3480,medium
1394,3483,low
1395,3485,low
1396,3487,low
1397,3490,low
1398,3491,low
1399,3492,low
1400,3496,low
1401,3509,low
1402,3510,low
1403,3511,low
1404,3512,low
1405,3516,low
1406,3518,low
1407,3522,medium
1408,3523,low
1409,3526,low
1410,3529,low
1411,3534,low
1412,3541,low
1413,3545,low
1414,3547,low
1415,3555,low
1416,3556,low
1417,3557,medium
1418,3561,low
1419,3562,low
1420,3564,low
1421,3565,low
1422,3571,low
1423,3581,low
1424,3582,low
1425,3587,low
1426,3589,low
1427,3591,low
1428,3592,low
1429,3594,low
1430,3596,medium
1431,3597,low
1432,3598,low
1433,3599,low
1434,3601,low
1435,3602,low
1436,3607,low
1437,3611,low
1438,3614,low
1439,3615,low
1440,3623,low
1441,3624,low
1442,3628,low
1443,3631,medium
1444,3632,low
1445,3633,low
1446,3635,medium
1447,3640,low
1448,3641,low
1449,3643,low
1450,3644,low
1451,3646,low
1452,3655,low
1453,3658,low
1454,3660,low
1455,3662,low
1456,3664,low
1457,3668,low
1458,3670,low
1459,3671,low
1460,3675,low
1461,3676,low
1462,3678,low
1463,3680,low
1464,3681,low
1465,3682,low
1466,3684,low
1467,3686,medium
1468,3688,low
1469,3691,low
1470,3693,low
1471,3697,low
1472,3698,low
1473,3699,low
1474,3700,low
1475,3708,low
1476,3710,low
1477,3713,low
1478,3715,medium
1479,3716,low
1480,3717,low
1481,3720,low
1482,3721,low
1483,3724,low
1484,3725,medium
1485,3726,high
1486,3727,low
1487,3730,low
1488,3731,low
1489,3732,low
1490,3739,low
1491,3743,low
1492,3745,low
1493,3746,low
1494,3748,low
1495,3753,low
1496,3754,low
1497,3755,low
1498,3758,low
1499,3761,low
1500,3762,low
1501,3765,low
1502,3766,medium
1503,3770,low
1504,3773,low
1505,3774,low
1506,3778,low
1507,3781,low
1508,3783,low
1509,3787,medium
1510,3788,high
1511,3789,high
1512,3790,low
1513,3797,low
1514,3798,low
1515,3799,low
1516,3800,low
1517,3801,low
1518,3802,low
1519,3807,low
1520,3809,medium
1521,3810,high
1522,3811,low
1523,3813,low
1524,3815,low
1525,3817,low
1526,3818,low
1527,3820,low
1528,3822,low
1529,3828,low
1530,3834,low
1531,3836,low
1532,3839,low
1533,3840,low
1534,3845,low
1535,3850,low
1536,3856,low
1537,3858,low
1538,3862,medium
1539,3863,low
1540,3866,medium
1541,3867,low
1542,3868,low
1543,3869,low
1544,3872,low
1545,3881,low
1546,3882,low
1547,3884,low
1548,3885,low
1549,3887,low
1550,3895,low
1551,3899,low
1552,3903,low
1553,3906,low
1554,3907,low
1555,3910,low
1556,3911,low
1557,3912,low
1558,3913,medium
1559,3916,low
1560,3917,low
1561,3919,low
1562,3921,low
1563,3922,low
1564,3923,low
1565,3925,low
1566,3927,high
1567,3931,low
1568,3934,low
1569,3939,low
1570,3941,low
1571,3945,low
1572,3946,low
1573,3956,low
1574,3957,low
1575,3958,low
1576,3963,low
1577,3964,low
1578,3971,low
1579,3974,low
1580,3975,low
1581,3976,low
1582,3979,low
1583,3981,low
1584,3982,low
1585,3983,low
1586,3988,low
1587,3990,low
1588,3991,low
1589,3996,low
1590,3997,low
1591,3999,low
1592,4001,low
1593,4002,low
1594,4003,low
1595,4005,low
1596,4006,low
1597,4007,low
1598,4008,low
1599,4013,high
1600,4015,low
1601,4019,low
1602,4021,low
1603,4024,low
1604,4025,low
1605,4026,low
1606,4027,low
1607,4029,low
1608,4030,low
1609,4031,low
1610,4033,low
1611,4035,low
1612,4036,low
1613,4041,low
1614,4042,low
1615,4046,low
1616,4055,low
1617,4059,low
1618,4061,low
1619,4063,low
1620,4064,low
1621,4066,low
1622,4072,low
1623,4076,low
1624,4078,low
1625,4079,low
1626,4087,low
1627,4091,low
1628,4093,low
1629,4094,high
1630,4096,low
1631,4097,low
1632,4098,low
1633,4102,low
1634,4110,low
1635,4116,low
1636,4117,low
1637,4119,low
1638,4124,low
1639,4125,low
1640,4126,low
1641,4130,low
1642,4131,low
1643,4132,low
1644,4137,low
1645,4139,low
1646,4151,low
1647,4153,low
1648,4156,low
1649,4157,low
1650,4158,low
1651,4159,low
1652,4160,low
1653,4161,low
1654,4163,high
1655,4166,low
1656,4170,low
1657,4171,low
1658,4175,low
1659,4176,low
1660,4178,low
1661,4180,medium
1662,4182,low
1663,4183,low
1664,4186,low
1665,4187,low
1666,4189,low
1667,4190,low
1668,4193,low
1669,4195,medium
1670,4198,low
1671,4199,low
1672,4202,low
1673,4203,low
1674,4204,high
1675,4208,low
1676,4209,low
1677,4216,low
1678,4218,low
1679,4219,low
1680,4222,medium
1681,4227,low
1682,4231,medium
1683,4235,low
1684,4236,low
1685,4239,low
1686,4243,medium
1687,4244,low
1688,4245,low
1689,4246,low
1690,4247,low
1691,4253,low
1692,4257,low
1693,4260,medium
1694,4261,low
1695,4262,low
1696,4263,low
1697,4266,low
1698,4268,low
1699,4270,low
1700,4271,low
1701,4272,low
1702,4274,low
1703,4276,medium
1704,4280,low
1705,4285,medium
1706,4287,low
1707,4288,low
1708,4290,low
1709,4305,low
1710,4306,low
1711,4312,low
1712,4314,low
1713,4315,low
1714,4316,low
1715,4324,low
1716,4329,low
1717,4331,low
1718,4334,low
1719,4337,low
1720,4338,low
1721,4339,low
1722,4340,low
1723,4342,low
1724,4343,low
1725,4344,low
1726,4349,low
1727,4354,low
1728,4357,low
1729,4358,low
1730,4359,low
1731,4360,low
1732,4361,low
1733,4363,low
1734,4364,low
1735,4365,low
1736,4367,low
1737,4369,low
1738,4370,low
1739,4372,low
1740,4373,low
1741,4374,medium
1742,4380,low
1743,4385,low
1744,4386,low
1745,4387,low
1746,4388,low
1747,4396,low
1748,4397,low
1749,4400,low
1750,4401,low
1751,4405,low
1752,4406,low
1753,4411,low
1754,4417,low
1755,4420,low
1756,4428,low
1757,4445,low
1758,4449,low
1759,4450,low
1760,4456,low
1761,4459,low
1762,4463,low
1763,4465,low
1764,4466,low
1765,4467,low
1766,4470,low
1767,4472,low
1768,4474,low
1769,4475,low
1770,4476,low
1771,4478,low
1772,4479,low
1773,4481,low
1774,4483,low
1775,4487,low
1776,4490,low
1777,4493,low
1778,4494,low
1779,4497,medium
1780,4500,low
1781,4506,low
1782,4516,low
1783,4517,low
1784,4520,low
1785,4524,low
1786,4525,low
1787,4527,low
1788,4531,low
1789,4534,low
1790,4536,low
1791,4538,low
1792,4539,low
1793,4540,low
1794,4541,low
1795,4542,low
1796,4547,low
1797,4548,low
1798,4550,low
1799,4554,low
1800,4556,low
1801,4561,low
1802,4565,low
1803,4567,low
1804,4569,low
1805,4572,low
1806,4573,low
1807,4574,low
1808,4576,low
1809,4578,low
1810,4579,low
1811,4582,low
1812,4583,low
1813,4584,low
1814,4586,low
1815,4589,low
1816,4592,medium
1817,4595,low
1818,4596,low
1819,4599,low
1820,4601,low
1821,4602,low
1822,4606,low
1823,4607,low
1824,4608,low
1825,4609,low
1826,4610,low
1827,4612,low
1828,4615,low
1829,4617,low
1830,4620,low
1831,4621,low
1832,4622,low
1833,4624,low
1834,4625,low
1835,4626,low
1836,4628,low
1837,4629,low
1838,4632,low
1839,4642,low
1840,4650,low
1841,4651,low
1842,4653,low
1843,4656,low
1844,4657,low
1845,4659,low
1846,4664,low
1847,4665,low
1848,4666,low
1849,4667,low
1850,4671,low
1851,4673,low
1852,4676,low
1853,4681,low
1854,4682,high
1855,4683,low
1856,4685,low
1857,4687,low
1858,4694,low
1859,4695,low
1860,4698,low
1861,4700,low
1862,4701,low
1863,4705,low
1864,4706,low
1865,4712,low
1866,4719,medium
1867,4720,low
1868,4721,low
1869,4722,low
1870,4723,low
1871,4726,low
1872,4727,low
1873,4728,low
1874,4729,low
1875,4731,low
1876,4735,low
1877,4741,low
1878,4746,low
1879,4750,low
1880,4752,low
1881,4754,low
1882,4755,low
1883,4757,low
1884,4759,low
1885,4760,low
1886,4762,low
1887,4764,low
1888,4768,low
1889,4770,low
1890,4772,medium
1891,4782,low
1892,4783,low
1893,4786,low
1894,4787,low
1895,4791,low
1896,4793,low
1897,4794,low
1898,4795,low
1899,4796,low
1900,4798,medium
1901,4801,low
1902,4805,low
1903,4810,low
1904,4815,low
1905,4816,low
