,aptID,interest_level,predOnDesc,pred_low,pred_high,pred_h_or_m,Predicted_feats
163,440,low,low,True,False,is_low,low
164,441,medium,medium,False,False,medium,medium
165,442,medium,low,True,False,medium,low
166,444,low,low,True,False,is_low,low
167,445,medium,low,False,True,high,high
168,446,medium,low,True,False,medium,low
169,447,low,low,True,False,is_low,low
170,449,low,low,True,False,is_low,low
171,451,medium,low,False,False,medium,medium
172,454,low,low,True,False,is_low,low
173,458,low,low,True,False,is_low,low
174,465,low,low,True,False,is_low,low
175,466,medium,medium,True,False,medium,low
176,471,medium,low,True,False,medium,low
177,472,medium,low,True,False,medium,low
178,473,low,low,True,False,is_low,low
179,474,low,medium,True,False,is_low,low
180,476,low,low,True,False,is_low,low
181,479,low,low,False,False,is_low,low
182,480,low,low,True,False,is_low,low
183,481,low,low,True,False,is_low,low
184,482,low,high,True,False,is_low,low
185,483,low,low,True,False,is_low,low
186,484,medium,medium,False,False,medium,medium
187,486,low,low,True,False,is_low,low
188,487,high,medium,False,False,medium,medium
189,490,low,low,False,False,is_low,medium
190,491,medium,low,True,False,medium,low
191,494,medium,medium,True,False,medium,low
192,498,low,low,True,False,is_low,low
193,499,low,low,True,False,is_low,low
194,500,low,low,True,False,is_low,low
195,506,low,low,True,False,is_low,low
196,509,low,low,True,False,is_low,low
197,510,medium,medium,True,False,medium,low
198,511,low,medium,True,False,is_low,medium
199,513,low,low,True,False,is_low,low
200,514,low,low,True,False,is_low,low
201,515,low,low,True,False,is_low,low
202,518,low,low,True,False,is_low,low
203,519,medium,medium,True,False,medium,low
204,521,high,medium,False,False,medium,medium
205,529,low,low,True,False,is_low,low
206,530,low,low,True,False,is_low,low
207,534,medium,low,True,False,medium,low
208,535,high,high,True,False,medium,low
209,536,medium,medium,True,False,medium,low
210,537,low,low,True,False,is_low,low
211,538,low,low,True,False,is_low,low
212,542,medium,low,True,False,medium,low
213,548,low,high,True,False,is_low,low
214,554,low,medium,True,False,is_low,low
215,555,low,medium,True,False,is_low,low
216,557,low,low,True,False,is_low,low
217,558,medium,medium,True,False,medium,low
218,561,low,low,True,False,is_low,low
219,563,low,low,True,False,is_low,low
220,564,low,low,True,False,is_low,low
221,567,low,low,True,False,is_low,low
222,568,medium,medium,True,False,medium,low
223,569,low,low,True,False,is_low,low
224,571,low,low,True,False,is_low,low
225,572,high,medium,False,False,medium,low
226,573,low,low,True,False,is_low,low
227,576,low,low,True,False,is_low,low
228,577,low,low,True,False,is_low,low
229,582,low,low,True,False,is_low,low
230,585,low,low,True,False,is_low,low
231,587,medium,low,True,False,medium,low
232,589,low,low,True,False,is_low,low
233,590,low,low,True,False,is_low,low
234,592,low,low,True,False,is_low,low
235,597,low,low,True,False,is_low,low
236,598,low,low,True,False,is_low,low
237,599,low,low,False,True,is_low,high
238,600,medium,low,True,False,medium,low
239,604,medium,medium,True,False,medium,low
240,605,low,low,True,False,is_low,low
241,607,low,medium,True,False,is_low,low
242,610,medium,low,True,False,medium,low
243,614,medium,low,True,False,medium,low
244,615,medium,medium,True,False,medium,low
245,620,low,low,True,False,is_low,low
246,621,medium,medium,True,False,medium,low
247,622,low,low,True,False,is_low,low
248,623,low,low,True,False,is_low,low
249,624,low,low,True,False,is_low,low
250,626,low,low,True,False,is_low,low
251,629,low,medium,False,False,is_low,medium
252,631,high,medium,True,False,medium,low
253,636,high,low,True,False,medium,low
254,638,medium,low,False,False,medium,low
255,640,low,low,True,False,is_low,low
256,641,medium,medium,True,False,medium,low
257,644,medium,medium,True,False,medium,low
258,645,low,low,True,False,is_low,low
259,647,low,low,True,False,is_low,low
260,648,low,low,True,False,is_low,low
261,649,low,low,True,False,is_low,low
262,651,medium,medium,True,False,medium,low
263,656,low,low,True,False,is_low,low
264,657,low,low,True,False,is_low,low
265,658,low,low,True,False,is_low,low
266,659,low,low,False,False,is_low,medium
267,662,medium,low,True,False,medium,low
268,666,low,low,True,False,is_low,low
269,669,low,low,True,False,is_low,low
270,674,low,low,True,False,is_low,low
271,675,low,low,True,False,is_low,low
272,679,low,low,True,False,is_low,low
273,681,medium,medium,True,False,medium,low
274,682,high,low,True,False,medium,low
275,685,low,low,True,False,is_low,low
276,687,low,low,True,False,is_low,low
277,692,medium,medium,True,False,medium,low
278,693,medium,low,True,False,medium,low
279,694,low,low,True,False,is_low,low
280,696,low,low,True,False,is_low,low
281,699,low,low,True,False,is_low,low
282,700,low,medium,True,False,is_low,low
283,703,medium,medium,False,False,medium,medium
284,704,medium,medium,True,False,medium,low
285,705,high,low,True,False,medium,low
286,706,low,low,True,False,is_low,low
287,707,medium,medium,True,False,medium,low
288,712,low,low,True,False,is_low,low
289,714,low,low,True,False,is_low,low
290,715,low,low,True,False,is_low,low
291,716,high,low,True,False,medium,low
292,718,medium,medium,True,False,medium,low
293,720,medium,low,True,False,medium,low
294,725,low,low,True,False,is_low,low
295,728,low,low,True,False,is_low,low
296,730,low,low,True,False,is_low,low
297,735,low,low,True,False,is_low,low
298,737,low,low,True,False,is_low,low
299,740,low,low,True,False,is_low,low
300,741,low,low,True,False,is_low,low
301,742,medium,low,True,False,medium,low
302,743,low,low,True,False,is_low,low
303,747,low,low,True,False,is_low,low
304,749,medium,medium,True,False,medium,low
305,754,low,low,True,False,is_low,low
306,757,medium,medium,True,False,medium,low
307,761,medium,low,True,False,medium,low
308,762,low,low,False,False,is_low,medium
309,764,low,low,True,False,is_low,low
310,766,low,low,True,False,is_low,low
311,770,low,low,True,False,is_low,low
312,772,low,low,True,False,is_low,low
313,773,low,low,True,False,is_low,low
314,776,low,high,False,False,is_low,medium
315,778,low,low,True,False,is_low,low
316,783,low,low,True,False,is_low,low
317,786,low,low,True,False,is_low,low
318,788,low,high,True,False,is_low,low
319,791,low,low,True,False,is_low,low
320,798,medium,low,True,False,medium,low
321,801,medium,low,True,False,medium,low
322,806,medium,low,True,False,medium,low
323,807,medium,medium,True,False,medium,low
324,809,low,low,True,False,is_low,low
325,810,medium,low,True,False,medium,low
326,812,low,low,True,False,is_low,low
327,813,low,low,True,False,is_low,low
328,815,low,low,True,False,is_low,low
329,816,medium,medium,True,False,medium,low
330,818,medium,low,True,False,medium,low
331,820,low,low,True,False,is_low,low
332,821,low,medium,True,False,is_low,low
333,822,medium,high,True,False,high,low
334,828,low,medium,False,False,is_low,medium
335,833,medium,low,True,False,medium,low
336,836,high,low,True,False,medium,low
337,839,low,low,True,False,is_low,low
338,840,low,low,True,False,is_low,low
339,841,low,low,True,False,is_low,low
340,843,medium,low,True,False,medium,low
341,845,low,medium,True,False,is_low,low
342,846,medium,low,True,False,medium,low
343,847,low,low,True,False,is_low,low
344,849,low,low,True,False,is_low,low
345,850,low,low,False,False,is_low,medium
346,852,low,low,True,False,is_low,low
347,858,low,low,True,False,is_low,low
348,859,low,low,True,False,is_low,low
349,862,high,low,True,False,medium,low
350,863,low,low,True,False,is_low,low
351,865,low,low,False,False,is_low,medium
352,866,low,low,True,False,is_low,low
353,872,low,low,True,False,is_low,low
354,873,low,low,True,False,is_low,low
355,875,medium,low,True,False,medium,low
356,876,medium,medium,True,False,medium,low
357,877,low,low,True,False,is_low,low
358,878,low,medium,True,False,is_low,low
359,879,medium,medium,True,False,medium,low
360,880,low,low,True,False,is_low,low
361,881,medium,low,True,False,medium,low
362,883,low,low,True,False,is_low,low
363,884,low,low,False,True,is_low,high
364,886,high,low,True,False,medium,low
365,889,low,low,False,False,is_low,medium
366,892,medium,low,True,False,medium,low
367,893,medium,low,True,False,medium,low
368,897,high,medium,True,False,medium,low
369,898,low,low,True,False,is_low,low
370,899,low,low,True,False,is_low,low
371,901,low,low,True,False,is_low,low
372,903,low,low,True,False,is_low,low
373,910,medium,low,True,False,medium,low
374,914,low,low,True,False,is_low,low
375,917,low,low,True,False,is_low,low
376,918,low,low,True,False,is_low,low
377,921,low,low,False,False,is_low,medium
378,923,medium,medium,True,False,medium,low
379,925,low,medium,True,True,is_low,high
380,928,low,low,True,False,is_low,low
381,936,low,low,True,False,is_low,low
382,937,low,low,True,False,is_low,low
383,938,low,low,True,False,is_low,low
384,939,low,medium,True,False,is_low,low
385,941,low,medium,True,False,is_low,low
386,944,low,low,True,False,is_low,low
387,945,low,low,True,False,is_low,low
388,947,medium,low,True,False,medium,low
389,948,low,low,True,False,is_low,low
390,953,low,low,True,False,is_low,low
391,956,low,medium,True,False,is_low,low
392,958,low,low,True,False,is_low,low
393,959,low,low,False,False,is_low,medium
394,962,low,low,True,False,is_low,low
395,963,medium,low,True,False,medium,low
396,964,low,low,True,False,is_low,low
397,965,low,low,True,False,is_low,low
398,967,medium,medium,True,False,medium,low
399,969,low,low,True,False,is_low,low
400,973,low,low,True,False,is_low,low
401,975,low,low,True,False,is_low,low
402,976,low,low,True,False,is_low,low
403,978,medium,low,True,False,medium,low
404,979,low,low,True,False,is_low,low
405,980,high,low,True,False,medium,low
406,981,low,low,True,False,is_low,low
407,984,low,low,True,False,is_low,medium
408,985,low,low,True,False,is_low,low
409,987,low,low,True,False,is_low,low
410,988,low,low,True,False,is_low,low
411,993,medium,low,True,False,medium,low
412,997,low,low,True,False,is_low,low
413,998,low,low,True,False,is_low,low
414,1002,low,low,True,False,is_low,low
415,1004,medium,low,True,False,medium,low
416,1007,low,medium,True,False,is_low,low
417,1010,low,low,True,False,is_low,low
418,1015,medium,low,True,False,medium,low
419,1016,low,low,True,False,is_low,low
420,1017,high,low,True,False,medium,low
421,1019,low,low,False,False,is_low,low
422,1020,low,medium,True,False,is_low,low
423,1021,low,low,True,False,is_low,low
424,1022,low,low,True,False,is_low,low
425,1023,low,low,True,False,is_low,low
426,1024,low,low,True,False,is_low,low
427,1025,low,low,True,False,is_low,low
428,1026,low,low,True,False,is_low,low
429,1027,low,low,True,False,is_low,low
430,1030,low,low,True,False,is_low,low
431,1031,low,high,False,True,is_low,high
432,1036,low,medium,True,False,is_low,low
433,1037,low,low,True,False,is_low,low
434,1038,medium,low,True,False,medium,low
435,1039,low,low,True,False,is_low,low
436,1041,high,medium,True,False,medium,low
437,1044,low,medium,True,False,is_low,low
438,1045,low,medium,True,False,is_low,low
439,1047,low,low,True,False,is_low,low
440,1048,low,low,True,False,is_low,low
441,1053,low,medium,True,False,is_low,low
442,1056,medium,medium,True,False,medium,low
443,1058,low,low,True,False,is_low,low
444,1060,low,low,True,False,is_low,low
445,1063,medium,medium,True,False,medium,low
446,1064,low,medium,False,False,is_low,low
447,1065,low,low,True,False,is_low,low
448,1066,low,medium,False,False,is_low,medium
449,1067,low,low,True,False,is_low,low
450,1071,low,high,True,False,is_low,low
451,1075,low,low,True,False,is_low,low
452,1076,medium,medium,True,False,medium,low
453,1078,medium,medium,True,False,medium,low
454,1083,low,medium,False,True,is_low,medium
455,1084,medium,medium,True,False,medium,low
456,1087,low,low,True,False,is_low,low
457,1088,medium,low,True,False,medium,low
458,1089,low,medium,True,False,is_low,low
459,1090,low,low,True,False,is_low,low
460,1091,low,low,True,False,is_low,low
461,1092,low,low,True,False,is_low,low
462,1093,high,medium,False,False,medium,medium
463,1094,low,low,True,False,is_low,low
464,1096,low,low,True,False,is_low,low
465,1097,medium,low,True,False,medium,low
466,1099,low,low,True,False,is_low,low
467,1105,low,low,True,False,is_low,low
468,1107,low,low,True,False,is_low,low
469,1111,low,low,True,False,is_low,low
470,1114,medium,medium,True,False,medium,low
471,1115,low,low,True,False,is_low,low
472,1117,low,low,True,False,is_low,low
473,1118,low,low,True,False,is_low,low
474,1119,medium,low,True,False,medium,low
475,1120,low,low,True,False,is_low,low
476,1133,medium,low,True,False,medium,low
477,1135,low,low,True,False,is_low,low
478,1137,high,low,True,False,medium,low
479,1142,low,low,True,False,is_low,low
480,1144,medium,low,True,False,medium,low
481,1148,low,low,True,False,is_low,low
482,1152,low,low,True,False,is_low,low
483,1159,low,low,True,False,is_low,low
484,1162,high,low,True,False,medium,low
485,1165,low,low,True,False,is_low,low
486,1167,low,low,True,False,is_low,low
487,1169,low,low,True,False,is_low,low
488,1170,high,medium,False,False,medium,medium
489,1171,low,low,False,False,is_low,low
490,1176,low,medium,True,False,is_low,low
491,1177,medium,medium,False,False,medium,medium
492,1179,low,low,True,False,is_low,low
493,1180,low,low,True,False,is_low,low
494,1181,medium,low,True,False,medium,low
495,1182,low,low,True,False,is_low,low
496,1183,low,low,True,False,is_low,low
497,1184,medium,low,True,False,medium,low
498,1185,low,low,True,False,is_low,low
499,1187,low,low,True,False,is_low,low
500,1189,low,low,True,False,is_low,low
501,1190,low,low,True,False,is_low,low
502,1196,low,low,True,False,is_low,low
503,1198,high,low,True,False,medium,low
504,1200,medium,low,True,False,medium,low
505,1201,low,low,True,False,is_low,low
506,1202,high,low,True,False,medium,low
507,1204,low,low,True,False,is_low,low
508,1206,low,low,True,False,is_low,low
509,1211,medium,medium,False,False,medium,low
510,1212,high,high,True,False,medium,low
511,1216,medium,low,True,False,medium,low
512,1220,low,low,True,False,is_low,low
513,1221,low,low,True,False,is_low,low
514,1225,low,low,True,False,is_low,low
515,1226,low,low,True,False,is_low,low
516,1228,medium,low,True,False,medium,low
517,1230,low,low,True,False,is_low,low
518,1231,medium,medium,False,False,medium,medium
519,1232,low,low,True,False,is_low,low
520,1234,low,low,True,False,is_low,low
521,1236,low,low,True,False,is_low,low
522,1241,low,low,True,False,is_low,low
523,1242,low,low,True,False,is_low,low
524,1245,low,low,True,False,is_low,low
525,1250,low,low,True,False,is_low,low
526,1255,low,low,True,False,is_low,low
527,1263,low,low,True,False,is_low,low
528,1267,medium,medium,False,False,medium,low
529,1276,medium,low,True,False,medium,low
530,1279,high,low,True,False,medium,low
531,1280,low,low,True,False,is_low,low
532,1283,low,medium,True,False,is_low,low
533,1286,low,medium,True,False,is_low,low
534,1290,low,low,True,False,is_low,low
535,1293,low,low,True,False,is_low,low
536,1294,low,low,True,False,is_low,low
537,1298,low,low,True,False,is_low,low
538,1300,medium,low,True,False,medium,low
539,1304,low,medium,True,False,is_low,low
540,1305,low,low,True,False,is_low,low
541,1307,low,low,True,False,is_low,low
542,1308,medium,low,True,False,medium,low
543,1316,medium,low,True,False,medium,low
544,1318,low,low,True,False,is_low,low
545,1321,low,low,True,False,is_low,low
546,1323,low,low,True,False,is_low,low
547,1325,medium,low,True,False,medium,low
548,1327,low,low,True,False,is_low,low
549,1328,low,low,True,False,is_low,low
550,1330,medium,low,True,False,medium,low
551,1332,medium,low,True,False,medium,low
552,1336,low,low,True,False,is_low,low
553,1338,low,low,True,False,is_low,low
554,1339,low,low,True,False,is_low,low
555,1340,low,low,True,False,is_low,low
556,1341,medium,medium,True,False,medium,low
557,1343,medium,low,True,False,medium,low
558,1346,low,medium,False,False,is_low,low
559,1347,low,low,True,False,is_low,low
560,1348,low,low,True,False,is_low,low
561,1353,low,low,True,False,is_low,low
562,1354,low,low,False,False,is_low,low
563,1356,low,low,True,False,is_low,low
564,1357,medium,low,True,False,medium,low
565,1358,medium,low,True,False,medium,low
566,1360,low,low,True,False,is_low,low
567,1366,low,low,True,False,is_low,low
568,1374,medium,low,True,False,medium,low
569,1378,low,low,True,False,is_low,low
570,1379,low,low,True,False,is_low,low
571,1383,medium,low,True,False,medium,low
572,1385,low,low,True,False,is_low,low
573,1388,medium,medium,True,False,medium,low
574,1390,medium,high,True,False,medium,low
575,1392,low,low,True,False,is_low,low
576,1393,high,medium,True,False,medium,low
577,1399,medium,low,True,False,medium,low
578,1401,low,low,False,False,is_low,medium
579,1402,low,low,True,False,is_low,low
580,1405,low,low,True,False,is_low,low
581,1407,low,low,True,False,is_low,low
582,1408,low,medium,False,False,is_low,medium
583,1411,low,low,True,False,is_low,low
584,1412,medium,medium,True,False,medium,low
585,1414,medium,medium,False,False,medium,medium
586,1417,low,medium,True,False,is_low,low
587,1418,medium,low,True,False,medium,low
588,1420,low,low,True,False,is_low,low
589,1427,medium,medium,True,False,medium,low
590,1430,low,low,True,False,is_low,low
591,1432,low,low,True,False,is_low,low
592,1433,medium,low,True,False,medium,low
593,1435,medium,medium,True,False,medium,medium
594,1436,low,medium,True,False,is_low,low
595,1445,low,low,True,False,is_low,low
596,1446,medium,low,True,False,medium,low
597,1450,low,low,True,False,is_low,low
598,1453,low,medium,True,False,is_low,low
599,1457,low,low,True,False,is_low,low
600,1461,medium,low,True,False,medium,low
601,1471,low,low,True,False,is_low,low
602,1475,medium,low,True,False,medium,low
603,1478,medium,low,True,False,medium,low
604,1481,low,medium,True,False,is_low,low
605,1482,medium,medium,True,False,medium,low
606,1485,medium,low,True,False,medium,low
607,1486,low,low,True,False,is_low,low
608,1487,low,low,False,False,is_low,medium
609,1493,low,medium,True,False,is_low,low
610,1496,low,low,True,False,is_low,low
611,1498,low,low,True,False,is_low,low
612,1499,low,low,True,False,is_low,low
613,1503,low,low,True,False,is_low,low
614,1512,low,low,True,False,is_low,low
615,1514,medium,low,True,False,medium,low
616,1521,low,low,True,False,is_low,low
617,1522,low,low,True,False,is_low,low
618,1523,low,low,True,False,is_low,low
619,1527,medium,low,True,False,medium,low
620,1528,low,medium,True,False,is_low,low
621,1531,low,low,True,False,is_low,low
622,1532,low,low,True,False,is_low,low
623,1536,low,low,True,False,is_low,low
624,1538,low,low,True,False,is_low,low
625,1541,medium,low,True,False,high,low
626,1546,medium,medium,True,False,medium,low
627,1550,low,low,True,False,is_low,low
628,1554,medium,medium,True,False,medium,low
629,1563,low,low,True,False,is_low,low
630,1567,medium,low,True,False,medium,low
631,1569,medium,medium,True,False,medium,low
632,1571,low,low,True,False,is_low,low
633,1574,medium,medium,True,False,medium,low
634,1576,low,low,True,False,is_low,low
635,1578,low,low,True,False,is_low,low
636,1580,high,medium,True,False,medium,low
637,1582,low,low,True,False,is_low,low
638,1583,medium,medium,True,False,medium,low
639,1585,low,low,False,False,is_low,medium
640,1586,low,low,True,False,is_low,low
641,1588,high,medium,False,False,medium,medium
642,1590,medium,low,True,False,medium,low
643,1591,low,low,True,False,is_low,low
644,1593,medium,low,True,False,medium,low
645,1595,low,low,True,False,is_low,low
646,1596,low,low,True,False,is_low,low
647,1597,low,low,False,False,is_low,medium
648,1603,low,low,True,False,is_low,low
649,1605,low,low,True,False,is_low,low
650,1607,low,low,True,False,is_low,low
651,1608,low,low,False,False,is_low,low
652,1611,low,low,True,False,is_low,low
653,1612,low,low,True,False,is_low,low
654,1620,medium,medium,True,False,medium,low
655,1621,low,low,True,False,is_low,low
656,1624,medium,low,True,False,medium,low
657,1629,low,medium,True,False,is_low,low
658,1634,low,low,True,False,is_low,low
659,1635,high,low,False,True,high,high
660,1636,low,low,True,False,is_low,low
661,1637,medium,low,True,False,medium,low
662,1640,medium,low,True,False,medium,low
663,1644,low,low,True,False,is_low,low
664,1649,medium,low,True,False,medium,low
665,1650,low,low,True,False,is_low,low
666,1652,low,medium,True,False,is_low,low
667,1659,low,low,True,False,is_low,low
668,1660,low,low,True,False,is_low,low
669,1661,medium,low,True,False,medium,low
670,1663,high,high,True,False,medium,low
671,1664,low,high,True,False,is_low,low
672,1668,medium,low,True,False,medium,low
673,1669,low,high,True,False,is_low,low
674,1674,medium,medium,True,False,medium,low
675,1677,low,low,True,False,is_low,low
676,1678,low,low,True,False,is_low,low
677,1680,medium,low,True,False,medium,low
678,1681,low,low,True,False,is_low,low
679,1682,low,low,True,False,is_low,low
680,1684,low,low,True,False,is_low,low
681,1685,medium,low,True,False,medium,low
682,1686,medium,medium,False,False,medium,medium
683,1687,low,medium,False,False,is_low,medium
684,1689,low,low,True,False,is_low,low
685,1690,medium,low,True,False,medium,low
686,1692,low,high,True,False,is_low,low
687,1695,low,low,True,False,is_low,low
688,1698,medium,low,True,False,medium,low
689,1699,medium,medium,True,False,medium,low
690,1701,medium,low,True,False,medium,low
691,1706,low,low,True,False,is_low,low
692,1707,medium,medium,True,False,medium,low
693,1708,medium,medium,True,False,medium,low
694,1710,low,low,True,False,is_low,low
695,1711,low,low,True,False,is_low,low
696,1712,medium,low,True,False,medium,low
697,1713,medium,medium,True,False,medium,low
698,1714,high,high,True,False,medium,low
699,1715,medium,medium,True,False,medium,low
700,1717,medium,low,True,False,medium,low
701,1720,high,high,False,True,high,high
702,1725,low,low,True,False,is_low,low
703,1727,high,low,True,False,medium,low
704,1728,low,low,True,False,is_low,low
705,1731,medium,low,True,False,medium,low
706,1734,low,low,True,False,is_low,low
707,1740,low,low,False,False,is_low,medium
708,1742,low,low,False,False,is_low,medium
709,1746,low,low,True,False,is_low,low
710,1748,medium,low,True,False,medium,low
711,1749,low,low,True,False,is_low,low
712,1750,medium,low,True,False,medium,low
713,1752,low,low,True,False,is_low,low
714,1753,low,low,True,False,is_low,low
715,1754,medium,low,True,False,medium,low
716,1755,medium,medium,True,False,medium,low
717,1758,medium,high,False,True,high,high
718,1760,low,low,True,False,is_low,low
719,1761,low,low,True,False,is_low,low
720,1764,low,low,False,False,is_low,medium
721,1768,high,medium,True,False,medium,low
722,1771,medium,medium,False,False,medium,low
723,1772,low,low,True,False,is_low,low
724,1774,medium,low,True,False,medium,low
725,1777,low,low,True,False,is_low,low
726,1778,low,medium,True,False,is_low,low
727,1782,low,medium,True,False,is_low,low
728,1786,high,high,True,False,medium,low
729,1789,low,low,True,False,is_low,low
730,1790,low,low,False,False,is_low,medium
731,1792,low,medium,True,False,is_low,low
732,1795,low,low,True,False,is_low,low
733,1796,low,low,True,False,is_low,low
734,1799,high,medium,True,False,medium,low
735,1803,low,high,True,False,is_low,low
736,1805,low,medium,False,False,is_low,medium
737,1806,high,medium,True,False,medium,low
738,1807,low,low,True,False,is_low,low
739,1809,medium,low,True,False,medium,low
740,1810,low,low,True,False,is_low,low
741,1811,medium,medium,True,False,medium,low
742,1815,medium,low,True,False,medium,low
743,1816,low,medium,False,False,is_low,low
744,1818,low,low,True,False,is_low,low
745,1822,medium,medium,True,False,medium,low
